step,epoch,train_loss,val_loss
4,0,0.3308926820755005,
7,0,,0.4834914207458496
9,1,0.2916765809059143,
14,1,0.2826985716819763,
15,1,,0.4985828995704651
19,2,0.3102754056453705,
23,2,,0.5201544761657715
24,3,0.29279178380966187,
29,3,0.3262341618537903,
31,3,,0.4719277322292328
34,4,0.283850759267807,
39,4,0.29788485169410706,
39,4,,0.5040175914764404
44,5,0.2852298617362976,
47,5,,0.4932936429977417
49,6,0.2953784465789795,
54,6,0.2814194858074188,
55,6,,0.48943090438842773
59,7,0.27772435545921326,
63,7,,0.4968104362487793
64,8,0.2751206159591675,
69,8,0.28424060344696045,
71,8,,0.5033586621284485
74,9,0.2862222194671631,
79,9,0.28673216700553894,
79,9,,0.4941427707672119
84,10,0.2837185561656952,
87,10,,0.4839499890804291
89,11,0.2827244699001312,
94,11,0.2810550332069397,
95,11,,0.4939494729042053
99,12,0.28855809569358826,
103,12,,0.4982139766216278
104,13,0.2846868336200714,
109,13,0.2844318449497223,
111,13,,0.5019562840461731
114,14,0.2813965678215027,
119,14,0.270522803068161,
119,14,,0.4991522431373596
124,15,0.27969497442245483,
127,15,,0.49921202659606934
129,16,0.28686660528182983,
134,16,0.282208651304245,
135,16,,0.5046931505203247
139,17,0.2815995514392853,
143,17,,0.5018090009689331
144,18,0.29172560572624207,
149,18,0.2763061225414276,
151,18,,0.5005804896354675
154,19,0.2821114659309387,
159,19,0.29250940680503845,
159,19,,0.49677127599716187
164,20,0.27956992387771606,
167,20,,0.5020259022712708
169,21,0.2786180078983307,
174,21,0.2811998724937439,
175,21,,0.494633287191391
179,22,0.2872627377510071,
183,22,,0.4776884913444519
184,23,0.29231616854667664,
189,23,0.28446531295776367,
191,23,,0.5033560991287231
194,24,0.2811087667942047,
199,24,0.3085741102695465,
199,24,,0.4961584508419037
204,25,0.2820051908493042,
207,25,,0.49356797337532043
209,26,0.2812463045120239,
214,26,0.2777248024940491,
215,26,,0.4911765158176422
219,27,0.2855304479598999,
223,27,,0.48925355076789856
224,28,0.27816763520240784,
229,28,0.2867918312549591,
231,28,,0.4878169000148773
234,29,0.28316083550453186,
239,29,0.2914992570877075,
239,29,,0.4951574206352234
244,30,0.28257936239242554,
247,30,,0.49176546931266785
249,31,0.28892144560813904,
254,31,0.28323641419410706,
255,31,,0.5108373165130615
259,32,0.2830955386161804,
263,32,,0.5084195733070374
264,33,0.2732718288898468,
269,33,0.2845417559146881,
271,33,,0.4801037609577179
274,34,0.29028692841529846,
279,34,0.2967110574245453,
279,34,,0.48262035846710205
284,35,0.28736603260040283,
287,35,,0.4707126319408417
289,36,0.28565651178359985,
294,36,0.28480643033981323,
295,36,,0.4879469871520996
299,37,0.2845376431941986,
303,37,,0.498320996761322
304,38,0.28660136461257935,
309,38,0.28073474764823914,
311,38,,0.5057047009468079
314,39,0.2852579653263092,
319,39,0.2620828151702881,
319,39,,0.5000568628311157
324,40,0.2823430895805359,
327,40,,0.5014728307723999
329,41,0.28730231523513794,
334,41,0.285610169172287,
335,41,,0.4874247908592224
339,42,0.2946890890598297,
343,42,,0.4868467152118683
344,43,0.2787622809410095,
349,43,0.2914857566356659,
351,43,,0.4997745752334595
354,44,0.2839255630970001,
359,44,0.30616793036460876,
359,44,,0.492522656917572
364,45,0.28226375579833984,
367,45,,0.5096951127052307
369,46,0.27394387125968933,
374,46,0.28168004751205444,
375,46,,0.509594738483429
379,47,0.2861989140510559,
383,47,,0.5049288272857666
384,48,0.2789541482925415,
389,48,0.2884318232536316,
391,48,,0.4950218200683594
394,49,0.271545946598053,
399,49,0.2762623429298401,
399,49,,0.5077061653137207
404,50,0.2845420837402344,
407,50,,0.5110421776771545
409,51,0.27710068225860596,
414,51,0.2884477972984314,
415,51,,0.4977336823940277
419,52,0.26934173703193665,
423,52,,0.4986034035682678
424,53,0.2873360514640808,
429,53,0.278359055519104,
431,53,,0.4967813491821289
434,54,0.28339821100234985,
439,54,0.2702741026878357,
439,54,,0.5048278570175171
444,55,0.2776956260204315,
447,55,,0.5141670107841492
449,56,0.2799552083015442,
454,56,0.275124192237854,
455,56,,0.5048989057540894
459,57,0.2771373391151428,
463,57,,0.5019956231117249
464,58,0.28407615423202515,
469,58,0.2730616629123688,
471,58,,0.5103610157966614
474,59,0.2816797196865082,
479,59,0.28455501794815063,
479,59,,0.5078584551811218
484,60,0.28167250752449036,
487,60,,0.5020725131034851
489,61,0.2767740786075592,
494,61,0.28564462065696716,
495,61,,0.5148144960403442
499,62,0.2742081582546234,
503,62,,0.5119464993476868
504,63,0.2770775854587555,
509,63,0.2780761420726776,
511,63,,0.5050901174545288
514,64,0.2770650088787079,
519,64,0.28739166259765625,
519,64,,0.5041351318359375
524,65,0.27500367164611816,
527,65,,0.5066491961479187
529,66,0.28008517622947693,
534,66,0.28082239627838135,
535,66,,0.5098651647567749
539,67,0.2725315988063812,
543,67,,0.5184068083763123
544,68,0.28425315022468567,
549,68,0.2828119695186615,
551,68,,0.5107371807098389
554,69,0.28300851583480835,
559,69,nan,
559,69,,nan
564,70,nan,
567,70,,nan
569,71,nan,
574,71,nan,
575,71,,nan
579,72,nan,
583,72,,nan
584,73,nan,
589,73,nan,
591,73,,nan
594,74,nan,
599,74,nan,
599,74,,nan
604,75,nan,
607,75,,nan
609,76,nan,
614,76,nan,
615,76,,nan
619,77,nan,
623,77,,nan
624,78,nan,
629,78,nan,
631,78,,nan
634,79,nan,
639,79,nan,
639,79,,nan
644,80,nan,
647,80,,nan
649,81,nan,
654,81,nan,
655,81,,nan
659,82,nan,
663,82,,nan
664,83,nan,
669,83,nan,
671,83,,nan
674,84,nan,
679,84,nan,
679,84,,nan
684,85,nan,
687,85,,nan
689,86,nan,
694,86,nan,
695,86,,nan
699,87,nan,
703,87,,nan
704,88,nan,
709,88,nan,
711,88,,nan
714,89,nan,
719,89,nan,
719,89,,nan
724,90,nan,
727,90,,nan
729,91,nan,
734,91,nan,
735,91,,nan
739,92,nan,
743,92,,nan
744,93,nan,
749,93,nan,
751,93,,nan
754,94,nan,
759,94,nan,
759,94,,nan
764,95,nan,
767,95,,nan
769,96,nan,
774,96,nan,
775,96,,nan
779,97,nan,
783,97,,nan
784,98,nan,
789,98,nan,
791,98,,nan
794,99,nan,
799,99,nan,
799,99,,nan
804,100,nan,
807,100,,nan
809,101,nan,
814,101,nan,
815,101,,nan
819,102,nan,
823,102,,nan
824,103,nan,
829,103,nan,
831,103,,nan
834,104,nan,
839,104,nan,
839,104,,nan
844,105,nan,
847,105,,nan
849,106,nan,
854,106,nan,
855,106,,nan
859,107,nan,
863,107,,nan
864,108,nan,
869,108,nan,
871,108,,nan
874,109,nan,
879,109,nan,
879,109,,nan
884,110,nan,
887,110,,nan
889,111,nan,
894,111,nan,
895,111,,nan
899,112,nan,
903,112,,nan
904,113,nan,
909,113,nan,
911,113,,nan
914,114,nan,
919,114,nan,
919,114,,nan
924,115,nan,
927,115,,nan
929,116,nan,
934,116,nan,
935,116,,nan
939,117,nan,
943,117,,nan
944,118,nan,
949,118,nan,
951,118,,nan
954,119,nan,
959,119,nan,
959,119,,nan
964,120,nan,
967,120,,nan
969,121,nan,
974,121,nan,
975,121,,nan
979,122,nan,
983,122,,nan
984,123,nan,
989,123,nan,
991,123,,nan
994,124,nan,
999,124,nan,
999,124,,nan
